iso3,gdp_per_capita,gdp_growth,inflation,unemployment,population,population_growth,birth_rate,death_rate,life_expectancy,fertility_rate,internet_users,electricity_access,urban_population_pct,gdp_current_usd,literacy_rate,secondary_enrollment,physicians_per_1000,industry_value_added_pct,agriculture_value_added_pct
AFE,1679.32762166466,3.72271692296214,10.8834775726018,7.86947018999245,731821393,2.59275445199729,33.3204330526369,7.24516294858983,64.4870195456608,4.28703336709338,26.8,48.8012579607658,37.3605781096471,1228967879390.01,73.0559768676758,45.2816200256348,0.243384946439894,26.3210526613761,14.1855226450872
AFW,2138.47315259913,4.47279468511532,7.94925143524016,3.59335356570127,497387180,2.33227039388145,33.7514190226375,10.3375867292438,57.9878133945189,4.56335400847357,37.5,55.6866829669796,51.6816941134779,1063649130876.99,60.7809791564941,45.6372985839844,0.258635594198467,23.0816586357113,25.3717465088187
ARB,7950.35581975672,7.00775934349392,5.17980847967061,9.74413095599936,471352066,2.29741398218854,23.5428272158261,5.19978525681961,71.8760955992222,3.10776674481051,,90.6545179070033,59.3339325148117,3747416641077.46,78.2719268798828,69.4561386108398,1.1767238952236,48.6378194883718,4.33056895649595
CSS,17456.3084845676,14.8851030062619,5.82838638517959,8.29867755889038,4497310,0.404234861975181,14.3615631877722,7.97362341421872,72.8322921090607,1.83848523008097,,98.3064221501297,50.1314448681558,78506430710.7309,,84.883918762207,2.52508013216043,36.151204786258,3.32157532858077
CEB,19530.1553232172,4.04227221314891,14.6081439492433,3.96540582731722,100071871,-0.13367547636684,8.85454642893606,13.2665575114509,76.6522987292583,1.49394411075471,,100.0,61.5935240282645,1954419184114.96,99.4799194335938,100.121192932129,3.90795171540262,27.3806317184565,2.93065631646351
EAR,4043.82776331568,6.02119005770159,7.19861615609867,5.64296814018676,3470644834,1.11896236573035,18.7811907615742,6.44398260049446,71.4304552508694,2.3189517975754,,95.1575744950744,46.6969243405166,14034689936337.3,81.2427978515625,77.2122268676758,1.02202255025474,35.0333114712033,10.8304142359088
EAS,13139.2109813612,2.9996184966993,5.34595440908904,4.10032254258298,2379617118,0.189259906183258,9.33082809099838,7.67559522668596,76.6767167147452,1.36272811190401,82.4,98.2139059282726,63.6828244393002,31266291368260.6,96.3631210327148,91.2770309448242,2.39850920121295,34.9268472299649,5.79463585842321
EAP,10106.9935977814,3.54811147025219,5.37734908193985,4.23491194246921,2133560408,0.234938160938111,9.63847112856389,7.3722086936378,75.9325409436903,1.38552648865081,81.6,98.0273720891056,60.8593968560328,21563881384135.8,96.5920104980469,90.1883010864258,2.35417104796866,37.9192668938292,7.78071122818702
TEA,10220.4774431567,3.54808390633295,5.40874375479067,4.24711639501186,2107261123,0.23329577316355,9.59471687740523,7.3458586097443,75.9610347461336,1.38038247288067,82.3,98.5687468444318,60.8301827838521,21537214774462.6,96.5491409301758,90.1412811279297,2.3382424600285,37.9128570851469,7.76761964475469
EMU,41608.7123275598,3.6592192433758,8.47117645590892,6.77735729230381,348200155,0.285577850321034,8.58623493766107,11.2007522268622,81.6232025628471,1.44288706498202,,100.0,77.1544577812445,14488160081806.7,,108.442291259766,4.18889179561968,22.3269795807324,1.58314054698227
